region	chr	midPos	Nsites
(92,591)(100,599)(100,600)	Mt	350	501	0.114725
(192,691)(200,699)(200,700)	Mt	450	501	0.117400
(292,791)(300,799)(300,800)	Mt	550	501	0.128350
(392,891)(400,899)(400,900)	Mt	650	501	0.130945
(492,991)(500,999)(500,1000)	Mt	750	501	0.120783
(592,1091)(600,1099)(600,1100)	Mt	850	501	0.113626
(692,1191)(700,1199)(700,1200)	Mt	950	501	0.121079
(792,1291)(800,1299)(800,1300)	Mt	1050	501	0.108011
(892,1391)(900,1399)(900,1400)	Mt	1150	501	0.111205
(992,1491)(1000,1499)(1000,1500)	Mt	1250	501	0.116589
(1092,1591)(1100,1599)(1100,1600)	Mt	1350	501	0.110621
(1192,1691)(1200,1699)(1200,1700)	Mt	1450	501	0.104405
(1292,1791)(1300,1799)(1300,1800)	Mt	1550	501	0.101132
(1392,1891)(1400,1899)(1400,1900)	Mt	1650	501	0.091628
(1492,1991)(1500,1999)(1500,2000)	Mt	1750	501	0.099333
(1592,2091)(1600,2099)(1600,2100)	Mt	1850	501	0.105902
(1692,2191)(1700,2199)(1700,2200)	Mt	1950	501	0.102905
(1792,2291)(1800,2299)(1800,2300)	Mt	2050	501	0.110691
(1892,2391)(1900,2399)(1900,2400)	Mt	2150	501	0.121152
(1992,2491)(2000,2499)(2000,2500)	Mt	2250	501	0.097415
(2092,2591)(2100,2599)(2100,2600)	Mt	2350	501	0.116607
(2192,2691)(2200,2699)(2200,2700)	Mt	2450	501	0.130687
(2292,2791)(2300,2799)(2300,2800)	Mt	2550	501	0.130251
(2392,2891)(2400,2899)(2400,2900)	Mt	2650	501	0.130807
(2492,2991)(2500,2999)(2500,3000)	Mt	2750	501	0.132186
(2592,3091)(2600,3099)(2600,3100)	Mt	2850	501	0.132183
(2692,3191)(2700,3199)(2700,3200)	Mt	2950	501	0.126278
(2792,3291)(2800,3299)(2800,3300)	Mt	3050	501	0.130428
(2892,3391)(2900,3399)(2900,3400)	Mt	3150	501	0.126058
(2992,3491)(3000,3499)(3000,3500)	Mt	3250	501	0.126209
(3092,3591)(3100,3599)(3100,3600)	Mt	3350	501	0.128143
(3192,3691)(3200,3699)(3200,3700)	Mt	3450	501	0.126892
(3292,3791)(3300,3799)(3300,3800)	Mt	3550	501	0.125749
(3392,3891)(3400,3899)(3400,3900)	Mt	3650	501	0.127449
(3492,3991)(3500,3999)(3500,4000)	Mt	3750	501	0.126444
(3592,4091)(3600,4099)(3600,4100)	Mt	3850	501	0.127642
(3692,4191)(3700,4199)(3700,4200)	Mt	3950	501	0.125573
(3792,4291)(3800,4299)(3800,4300)	Mt	4050	501	0.120252
(3892,4391)(3900,4399)(3900,4400)	Mt	4150	501	0.121360
(3992,4491)(4000,4499)(4000,4500)	Mt	4250	501	0.125436
(4092,4591)(4100,4599)(4100,4600)	Mt	4350	501	0.135893
(4192,4691)(4200,4699)(4200,4700)	Mt	4450	501	0.137334
(4292,4791)(4300,4799)(4300,4800)	Mt	4550	501	0.137712
(4392,4891)(4400,4899)(4400,4900)	Mt	4650	501	0.138386
(4492,4991)(4500,4999)(4500,5000)	Mt	4750	501	0.136678
(4592,5091)(4600,5099)(4600,5100)	Mt	4850	501	0.121282
(4692,5191)(4700,5199)(4700,5200)	Mt	4950	501	0.118566
(4792,5291)(4800,5299)(4800,5300)	Mt	5050	501	0.115353
(4892,5391)(4900,5399)(4900,5400)	Mt	5150	501	0.114378
(4992,5491)(5000,5499)(5000,5500)	Mt	5250	501	0.123367
(5092,5591)(5100,5599)(5100,5600)	Mt	5350	501	0.122496
(5192,5691)(5200,5699)(5200,5700)	Mt	5450	501	0.123210
(5292,5791)(5300,5799)(5300,5800)	Mt	5550	501	0.124339
(5392,5891)(5400,5899)(5400,5900)	Mt	5650	501	0.126761
(5492,5991)(5500,5999)(5500,6000)	Mt	5750	501	0.135497
(5592,6091)(5600,6099)(5600,6100)	Mt	5850	501	0.143905
(5692,6191)(5700,6199)(5700,6200)	Mt	5950	501	0.216530
(5792,6291)(5800,6299)(5800,6300)	Mt	6050	501	0.175181
(5892,6391)(5900,6399)(5900,6400)	Mt	6150	501	0.093969
(5992,6491)(6000,6499)(6000,6500)	Mt	6250	501	0.086489
(6092,6591)(6100,6599)(6100,6600)	Mt	6350	501	0.096067
(6192,6691)(6200,6699)(6200,6700)	Mt	6450	501	0.096142
